[ INFO ]2020-08-23 00:03:43.043 method: com.api.cases.BaseCase.init(BaseCase.java:29)-----  ===============================init======================================
[ INFO ]2020-08-23 00:03:43.043 method: com.api.cases.BaseCase.init(BaseCase.java:45)-----  AuthenticationUtils.VARS======================{${amount}=1000, ${register_mb}=13322222222, ${register_pwd}=12345678, ${url}=api.lemonban.com}
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:03:44 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1,"msg":"密码为空","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:03:44 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1,"msg":"手机号为空","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:03:44 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1,"msg":"密码为空","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:03:44 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":2,"msg":"密码格式为8到16位","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:03:44.044 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:03:45.045 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:03:46 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:03:45.045 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:03:45.045 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":2,"msg":"账号已存在","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:03:45.045 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:03:46.046 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:03:46 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:03:46.046 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
